original_filename,page,file_url,platform_link,col1,col2,col3,col4,col5,col6,col7
southwest_ns_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/020f3687-8155-4312-adfb-c189271920e5-1.jpeg?expires=1702403557&or=0&s=09087ff106c5c8d9a1b29409a39b2dd9,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a3bd37c6-7e77-11ee-a0cd-b26f492b4a62,"Confinements :
Person CT ID",Confinement Reason,Entry,Exit,Duration,"Ethnic
Origin",
southwest_ns_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/020f3687-8155-4312-adfb-c189271920e5-1.jpeg?expires=1702403557&or=0&s=09087ff106c5c8d9a1b29409a39b2dd9,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a3bd37c6-7e77-11ee-a0cd-b26f492b4a62,20 ( 1 ),Alleged or Breached Rule,18 - OCT - 22,24 - OCT - 22,6,CAU,
southwest_ns_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/020f3687-8155-4312-adfb-c189271920e5-1.jpeg?expires=1702403557&or=0&s=09087ff106c5c8d9a1b29409a39b2dd9,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a3bd37c6-7e77-11ee-a0cd-b26f492b4a62,,Covid - 19,24 - JAN - 21,25 - JAN - 21,1,UNK,
southwest_ns_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/020f3687-8155-4312-adfb-c189271920e5-1.jpeg?expires=1702403557&or=0&s=09087ff106c5c8d9a1b29409a39b2dd9,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a3bd37c6-7e77-11ee-a0cd-b26f492b4a62,,Covid - 19,03 - FEB - 21,03 - FEB - 21,0,CAU,
southwest_ns_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/020f3687-8155-4312-adfb-c189271920e5-1.jpeg?expires=1702403557&or=0&s=09087ff106c5c8d9a1b29409a39b2dd9,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a3bd37c6-7e77-11ee-a0cd-b26f492b4a62,,Covid - 19,11 - FEB - 21,12 - FEB - 21,1,CAU,
southwest_ns_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/020f3687-8155-4312-adfb-c189271920e5-1.jpeg?expires=1702403557&or=0&s=09087ff106c5c8d9a1b29409a39b2dd9,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a3bd37c6-7e77-11ee-a0cd-b26f492b4a62,,Covid - 19,12 - FEB - 21,15 - FEB - 21,3,CAU,
southwest_ns_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/020f3687-8155-4312-adfb-c189271920e5-1.jpeg?expires=1702403557&or=0&s=09087ff106c5c8d9a1b29409a39b2dd9,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a3bd37c6-7e77-11ee-a0cd-b26f492b4a62,,Covid - 19,12 - FEB - 21,13 - FEB - 21,1,CAU,
southwest_ns_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/020f3687-8155-4312-adfb-c189271920e5-1.jpeg?expires=1702403557&or=0&s=09087ff106c5c8d9a1b29409a39b2dd9,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a3bd37c6-7e77-11ee-a0cd-b26f492b4a62,,Covid - 19,15 - FEB - 21,16 - FEB - 21,1,CAU,
southwest_ns_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/020f3687-8155-4312-adfb-c189271920e5-1.jpeg?expires=1702403557&or=0&s=09087ff106c5c8d9a1b29409a39b2dd9,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a3bd37c6-7e77-11ee-a0cd-b26f492b4a62,,Covid - 19,20 - FEB - 21,22 - FEB - 21,2,CAU,
southwest_ns_correctional_facility.pdf,0,https://nnts.imgix.net/uploadedfiles/411a5787-f153-4949-b7d3-37fb7c7bf47b/PredictionImages/020f3687-8155-4312-adfb-c189271920e5-1.jpeg?expires=1702403557&or=0&s=09087ff106c5c8d9a1b29409a39b2dd9,https://app.nanonets.com/#/ocr/test/411a5787-f153-4949-b7d3-37fb7c7bf47b/a3bd37c6-7e77-11ee-a0cd-b26f492b4a62,,Covid - 19,23 - FEB - 21,24 - FEB - 21,1,UNK,
