Page	Confinement Reason	Entry	Exit	Duration	Ethnic Origin	Correctional Facility
0	Covid - 19	30 - DEC - 21	02 - JAN - 22	3	CAU	central_ns_correctional_facility_chunk002
0	Covid - 19	30 - DEC - 21	02 - JAN - 22	3	CAU	central_ns_correctional_facility_chunk002
0	Covid - 19	30 - DEC - 21	02 - JAN - 22	3	CAU	central_ns_correctional_facility_chunk002
0	Covid - 19	30 - DEC - 21	02 - JAN - 22	3	CAU	central_ns_correctional_facility_chunk002
0	Covid - 19	30 - DEC - 21	01 - JAN - 22	IN 2	CAU	central_ns_correctional_facility_chunk002
0	Covid - 19	30 - DEC - 21	01 - JAN - 22	2	BLA	central_ns_correctional_facility_chunk002
0	Covid - 19	30 - DEC - 21	02 - JAN - 22	3	CAU	central_ns_correctional_facility_chunk002
0	Covid - 19	30 - DEC - 21	02 - JAN - 22	3	CAU	central_ns_correctional_facility_chunk002
0	Covid - 19	30 - DEC - 21	02 - JAN - 22	3	CAU	central_ns_correctional_facility_chunk002
0	Covid - 19	30 - DEC - 21	02 - JAN - 22	3	CAU	central_ns_correctional_facility_chunk002
0	Covid - 19	30 - DEC - 21	02 - JAN - 22	3	CAU	central_ns_correctional_facility_chunk002
0	Covid - 19	30 - DEC - 21	02 - JAN - 22	3	CAU	central_ns_correctional_facility_chunk002
0	Covid - 19	30 - DEC - 21	02 - JAN - 22	3	CAU	central_ns_correctional_facility_chunk002
0	Covid - 19	30 - DEC - 21	01 - JAN - 22	2	BLA	central_ns_correctional_facility_chunk002
0	Covid - 19	30 - DEC - 21	01 - JAN - 22	2	CAU	central_ns_correctional_facility_chunk002
0	Covid - 19	30 - DEC - 21	02 - JAN - 22	3 ال	CAU	central_ns_correctional_facility_chunk002
1	Covid - 19	30 - DEC - 21	01 - JAN - 22	IN 2	CAU	central_ns_correctional_facility_chunk002
1	Covid - 19	30 - DEC - 21	02 - JAN - 22	3	UNK	central_ns_correctional_facility_chunk002
1	Covid - 19	30 - DEC - 21	01 - JAN - 22	2	BLA	central_ns_correctional_facility_chunk002
1	Covid - 19	30 - DEC - 21	01 - JAN - 22	2	IND	central_ns_correctional_facility_chunk002
1	Covid - 19	30 - DEC - 21	02 - JAN - 22	3	IND	central_ns_correctional_facility_chunk002
1	Covid - 19	30 - DEC - 21	02 - JAN - 22	3	CAU	central_ns_correctional_facility_chunk002
1	Covid - 19	30 - DEC - 21	02 - JAN - 22	3	CAU	central_ns_correctional_facility_chunk002
1	Covid - 19	30 - DEC - 21	17 - JAN - 22	18	CAU	central_ns_correctional_facility_chunk002
1	Covid - 19	30 - DEC - 21	02 - JAN - 22	3	BLA	central_ns_correctional_facility_chunk002
1	Covid - 19	30 - DEC - 21	02 - JAN - 22	3	CAU	central_ns_correctional_facility_chunk002
1	Covid - 19	30 - DEC - 21	02 - JAN - 22	3	CAU	central_ns_correctional_facility_chunk002
1	Covid - 19	30 - DEC - 21	02 - JAN - 22	3	UNK	central_ns_correctional_facility_chunk002
1	Covid - 19	30 - DEC - 21	02 - JAN - 22	3	OTH	central_ns_correctional_facility_chunk002
1	Covid - 19	30 - DEC - 21	02 - JAN - 22	3	BLA	central_ns_correctional_facility_chunk002
